lon,lat,id
-117.69608000000001,33.564170000000004,1
-117.69611,33.56422,2
-117.70251999999999,33.56539,1
-117.71319,33.5685,1
-117.69476999999999,33.56603,1
-117.72034,33.5657,2
-117.69612,33.56208,2
-117.69601000000002,33.56208,2
-117.72681000000001,33.570240000000005,2
-117.72683,33.57002,2
-117.72716000000001,33.57006,2
-117.69632,33.56418,2
-117.70872,33.56393,2
-117.69237,33.56629,2
-117.69175,33.56608,2
-117.73252,33.57577,3
-117.73253999999999,33.5757,3
-117.73253999999999,33.57574,3
-117.73258999999999,33.57568,3
-117.73252,33.575759999999995,3
-117.73248999999998,33.5757,3
-117.73253000000001,33.57573,3
-117.73263999999999,33.57568,3
-117.73255,33.57573,3
-117.73258999999999,33.57567,3
-117.73253000000001,33.57573,3
-117.73256,33.57567,3
-117.73256,33.57568,3
-117.73253000000001,33.575720000000004,3
-117.73248999999998,33.575720000000004,3
-117.73262,33.5757,3
-117.73253999999999,33.57574,3
-117.73248000000001,33.575720000000004,3
-117.73253000000001,33.57573,3
-117.73253000000001,33.575720000000004,3
-117.73258999999999,33.57574,3
-117.73248000000001,33.57575,3
-117.73253000000001,33.57575,3
-117.73257,33.57574,3
-117.73256,33.57574,3
-117.73251,33.57568,3
-117.73248000000001,33.57566,3
-117.73266000000001,33.5757,3
-117.73256,33.575720000000004,3
-117.73253999999999,33.57574,3
-117.73253000000001,33.57571,3
-117.73246,33.57573,3
-117.73248999999998,33.575720000000004,3
-117.73252,33.575759999999995,3
-117.73256,33.57578,3
-117.7326,33.575759999999995,3
-117.73258999999999,33.575790000000005,3
-117.73252,33.57577,3
-117.7325,33.57578,3
-117.73256,33.5758,3
-117.73256,33.57585,3
-117.73255,33.575790000000005,3
-117.73246,33.57578,3
-117.73252,33.57578,3
-117.7326,33.575759999999995,3
-117.73253999999999,33.57578,3
-117.73261000000001,33.57578,3
-117.73267,33.575759999999995,3
-117.73256,33.57578,3
-117.73257,33.57577,3
-117.73251,33.5758,3
-117.73258,33.575759999999995,3
-117.73251,33.5758,3
-117.7326,33.57577,3
-117.73265,33.57575,3
-117.73248000000001,33.57561,3
-117.73257,33.57563,3
-117.73241000000002,33.57566,3
-117.73231000000001,33.57569,3
-117.73236999999999,33.57575,3
-117.73245,33.5758,3
-117.73243000000001,33.575829999999996,3
-117.73241000000002,33.57565,3
-117.73244,33.57568,3
-117.73241000000002,33.575520000000004,3
-117.73226000000001,33.575790000000005,3
-117.73243000000001,33.57573,3
-117.73235,33.57568,3
-117.73243000000001,33.57573,3
-117.73328000000001,33.57651,3
-117.73248999999998,33.57588,3
-117.73268,33.57588,3
-117.73262,33.57594,3
-117.69976000000001,33.56217,3
-117.73211,33.57555,3
-117.72926000000001,33.57625,3
